"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"600pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.565652995310259","1","","","40","527"
"200pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.224579490980341","1","","","40","527"
"400pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.379003838799305","1","","","40","527"
"600pi150lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.622171594260767","1","","","40","527"
"400pi100lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.440455402363927","1","","","40","527"
"200pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.167523494889096","1","","","40","527"
"200pi8lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.144852046365231","1","","","40","527"
"TestingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.504752212977689","1","","","40","527"
"TrainingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.504752212977689","1","","","40","527"
"200pi25lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.167353997605465","0.5","","","40","528"
"400pi100lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.500259579727282","0.5","","","40","528"
"600pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.634000000000458","0.5","","","40","528"
"100pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.121504880928229","0.5","","","40","528"
"125pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.136352679922066","0.5","","","40","528"
"125pi25lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.162384517657049","0.5","","","40","528"
"125pi40lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.195259303993031","0.5","","","40","528"
"125pi55lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.192903534559445","0.5","","","40","528"
"125pi55lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.219188410480288","0.5","","","40","528"
"200pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.226183224559365","0.5","","","40","528"
"200pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.272716797640158","0.5","","","40","528"
"400pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.339468642169162","0.5","","","40","528"
"400pi100lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.477876410342014","0.5","","","40","528"
"600pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.371744237073991","0.5","","","40","528"
"600pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.38280904884724","0.5","","","40","528"
"600pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.624789146709938","0.5","","","40","528"
"1000pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.36928882387848","0.5","","","40","528"
"1000pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.384119352012043","0.5","","","40","528"
"1000pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.637358144606218","0.5","","","40","528"
"1000pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.625015835481244","0.5","","","40","528"
"1000pi400lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.812734396865247","0.5","","","40","528"
"1000pi400lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.800860462260967","0.5","","","40","528"
"1000pi400lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.76958163652521","0.5","","","40","528"
"1000pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.695751848473789","0.5","","","40","528"
"600pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.561594247062301","0.5","","","40","528"
"200pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.226906010488396","0.5","","","40","528"
"400pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.383388747005311","0.5","","","40","528"
"600pi150lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.624234108284148","0.5","","","40","528"
"400pi100lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.446093634617404","0.5","","","40","528"
"200pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.168920535105145","0.5","","","40","528"
"200pi8lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.143627924340732","0.5","","","40","528"
"TestingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.498230129224601","0.5","","","40","528"
"TrainingSignalEvents","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.498230129224601","0.5","","","40","528"
"200pi25lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.166209924171914","1","","","50","530"
"400pi100lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.501001236093164","1","","","50","530"
"600pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.642012738853951","1","","","50","530"
"100pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.125219569787038","1","","","50","530"
"125pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.138645140445074","1","","","50","530"
"125pi25lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.165307809011756","1","","","50","530"
"125pi40lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.19711632822493","1","","","50","530"
"125pi55lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.191891707117044","1","","","50","530"
"125pi55lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.21891913724874","1","","","50","530"
"200pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.223828861494341","1","","","50","530"
"200pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.269743967921079","1","","","50","530"
"400pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.339392362122676","1","","","50","530"
"400pi100lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.478313383151503","1","","","50","530"
"600pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.374751542373559","1","","","50","530"
"600pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.384994536280682","1","","","50","530"
"600pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.634827820288554","1","","","50","530"
"1000pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.371642966563746","1","","","50","530"
"1000pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.385343878491024","1","","","50","530"
"1000pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.642536795679109","1","","","50","530"
"1000pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.635581267684239","1","","","50","530"
"1000pi400lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.835488385110435","1","","","50","530"
